CVE,DESCRIP
1,Ninguna
2,Preescolar
3,Primaria incompleta
4,Primaria completa
5,Secundaria incompleta
6,Secundaria completa
7,Preparatoria incompleta
8,Preparatoria completa
9,Profesional
10,Posgrado
99,No especificada
