CVE,DESCRIP
0,0 hijos
1,1 hijo
2,2 hijos
3,3 hijos
4,4 hijos
5,5 hijos
6,6 hijos
7,7 hijos
8,8 hijos
9,9 hijos
10,10 y más hijos
99,No especificado
